idx, tickerID, time, open, high, low, close, volume, wap, count, green, median
7.0, 1000.0, 1538061540.0, 169.77, 169.78, 169.75, 169.78, 9.0, 169.78, 7.0, 1, 169.75
8.0, 1000.0, 1538061545.0, 169.76, 169.78, 169.73, 169.73, 14.0, 169.75, 10.0, 0, 169.75
9.0, 1000.0, 1538061550.0, 169.74, 169.76, 169.74, 169.76, 9.0, 169.75, 9.0, 1, 169.75
10.0, 1000.0, 1538061555.0, 169.76, 169.76, 169.75, 169.75, 18.0, 169.75, 7.0, 0, 169.75
11.0, 1000.0, 1538061560.0, 169.75, 169.75, 169.72, 169.72, 36.0, 169.74, 18.0, 0, 169.75
12.0, 1000.0, 1538061565.0, 169.74, 169.74, 169.71, 169.71, 18.0, 169.72, 15.0, 0, 169.75
13.0, 1000.0, 1538061570.0, 169.72, 169.73, 169.72, 169.73, 52.0, 169.73, 23.0, 1, 169.75
14.0, 1000.0, 1538061575.0, 169.72, 169.75, 169.72, 169.75, 38.0, 169.73, 23.0, 1, 169.75
15.0, 1000.0, 1538061580.0, 169.75, 169.77, 169.74, 169.75, 48.0, 169.75, 12.0, 0, 169.75
16.0, 1000.0, 1538061585.0, 169.76, 169.76, 169.75, 169.76, 13.0, 169.76, 13.0, 0, 169.75
17.0, 1000.0, 1538061590.0, 169.77, 169.78, 169.75, 169.75, 16.0, 169.76, 16.0, 0, 169.75
18.0, 1000.0, 1538061595.0, 169.75, 169.75, 169.71, 169.72, 10.0, 169.73, 8.0, 0, 169.75
19.0, 1000.0, 1538061600.0, 169.72, 169.75, 169.7, 169.74, 89.0, 169.72, 31.0, 1, 169.69
20.0, 1000.0, 1538061605.0, 169.73, 169.73, 169.7, 169.72, 14.0, 169.72, 12.0, 0, 169.69
21.0, 1000.0, 1538061610.0, 169.72, 169.73, 169.71, 169.72, 17.0, 169.72, 7.0, 0, 169.69
22.0, 1000.0, 1538061615.0, 169.72, 169.73, 169.71, 169.72, 69.0, 169.72, 19.0, 0, 169.69
23.0, 1000.0, 1538061620.0, 169.72, 169.72, 169.68, 169.68, 49.0, 169.7, 20.0, 0, 169.69
24.0, 1000.0, 1538061625.0, 169.7, 169.71, 169.65, 169.68, 72.0, 169.67, 25.0, 0, 169.69
25.0, 1000.0, 1538061630.0, 169.67, 169.7, 169.66, 169.7, 51.0, 169.68, 31.0, 1, 169.69
26.0, 1000.0, 1538061635.0, 169.69, 169.7, 169.65, 169.65, 99.0, 169.66, 26.0, 0, 169.69
27.0, 1000.0, 1538061640.0, 169.67, 169.69, 169.67, 169.67, 21.0, 169.68, 14.0, 0, 169.69
28.0, 1000.0, 1538061645.0, 169.67, 169.68, 169.66, 169.68, 8.0, 169.67, 7.0, 1, 169.69
29.0, 1000.0, 1538061650.0, 169.67, 169.69, 169.66, 169.68, 18.0, 169.67, 17.0, 1, 169.69
30.0, 1000.0, 1538061655.0, 169.66, 169.66, 169.66, 169.66, 2.0, 169.66, 2.0, 0, 169.69
31.0, 1000.0, 1538061660.0, 169.66, 169.66, 169.63, 169.63, 43.0, 169.64, 23.0, 0, 169.64
32.0, 1000.0, 1538061665.0, 169.66, 169.7, 169.63, 169.64, 100.0, 169.65, 36.0, 0, 169.64
33.0, 1000.0, 1538061670.0, 169.66, 169.67, 169.66, 169.66, 72.0, 169.66, 5.0, 0, 169.64
34.0, 1000.0, 1538061675.0, 169.66, 169.66, 169.66, 169.66, 1.0, 169.66, 1.0, 0, 169.64
35.0, 1000.0, 1538061680.0, 169.66, 169.69, 169.66, 169.69, 66.0, 169.69, 15.0, 1, 169.64
36.0, 1000.0, 1538061685.0, 169.68, 169.69, 169.66, 169.66, 13.0, 169.67, 7.0, 0, 169.64
37.0, 1000.0, 1538061690.0, 169.68, 169.68, 169.65, 169.65, 48.0, 169.67, 7.0, 0, 169.64
38.0, 1000.0, 1538061695.0, 169.64, 169.65, 169.58, 169.6, 134.0, 169.62, 42.0, 0, 169.64
39.0, 1000.0, 1538061700.0, 169.6, 169.62, 169.58, 169.61, 45.0, 169.61, 19.0, 1, 169.64
40.0, 1000.0, 1538061705.0, 169.61, 169.62, 169.6, 169.6, 17.0, 169.61, 7.0, 0, 169.64
